player,date,status
Trea Turner,2024-05-04,red
Brandon Marsh,2024-06-03,red
JT Realmuto,2024-06-11,red
Brandon Marsh,2024-06-15,green4
Trea Turner,2024-06-17,green4
Bryce Harper,2024-06-28,red
Kyle Schwarber,2024-06-28,red
Bryce Harper,2024-07-09,green4
Kyle Schwarber,2024-07-09,green4
JT Realmuto,2024-07-20,green4
